n_agents n_rounds n_runs lam mean variance std
50 50 1000 0.21 25.935000 69.138775 8.314973
outcome count fraction
1 0 0.000000
2 0 0.000000
3 1 0.001000
4 0 0.000000
5 0 0.000000
6 1 0.001000
7 2 0.002000
8 5 0.005000
9 10 0.010000
10 4 0.004000
11 10 0.010000
12 14 0.014000
13 21 0.021000
14 20 0.020000
15 27 0.027000
16 29 0.029000
17 22 0.022000
18 34 0.034000
19 29 0.029000
20 38 0.038000
21 44 0.044000
22 52 0.052000
23 43 0.043000
24 45 0.045000
25 43 0.043000
26 47 0.047000
27 39 0.039000
28 40 0.040000
29 43 0.043000
30 43 0.043000
31 32 0.032000
32 33 0.033000
33 21 0.021000
34 28 0.028000
35 29 0.029000
36 31 0.031000
37 21 0.021000
38 21 0.021000
39 22 0.022000
40 18 0.018000
41 9 0.009000
42 10 0.010000
43 11 0.011000
44 2 0.002000
45 3 0.003000
46 2 0.002000
47 1 0.001000
48 0 0.000000
49 0 0.000000
50 0 0.000000
