n_agents n_rounds n_runs lam mean variance std
50 50 1000 0.03 25.963000 85.571631 9.250494
outcome count fraction
1 0 0.000000
2 0 0.000000
3 3 0.003000
4 0 0.000000
5 3 0.003000
6 6 0.006000
7 7 0.007000
8 6 0.006000
9 7 0.007000
10 9 0.009000
11 16 0.016000
12 18 0.018000
13 18 0.018000
14 20 0.020000
15 28 0.028000
16 23 0.023000
17 25 0.025000
18 30 0.030000
19 33 0.033000
20 33 0.033000
21 37 0.037000
22 54 0.054000
23 39 0.039000
24 40 0.040000
25 43 0.043000
26 39 0.039000
27 29 0.029000
28 48 0.048000
29 40 0.040000
30 40 0.040000
31 30 0.030000
32 28 0.028000
33 24 0.024000
34 21 0.021000
35 26 0.026000
36 22 0.022000
37 25 0.025000
38 27 0.027000
39 17 0.017000
40 17 0.017000
41 19 0.019000
42 13 0.013000
43 8 0.008000
44 11 0.011000
45 10 0.010000
46 3 0.003000
47 1 0.001000
48 3 0.003000
49 1 0.001000
50 0 0.000000
