n_agents n_rounds n_runs lam mean variance std
50 50 1000 0.13 25.942000 76.434636 8.742690
outcome count fraction
1 0 0.000000
2 0 0.000000
3 1 0.001000
4 0 0.000000
5 1 0.001000
6 4 0.004000
7 4 0.004000
8 6 0.006000
9 9 0.009000
10 5 0.005000
11 13 0.013000
12 19 0.019000
13 19 0.019000
14 22 0.022000
15 24 0.024000
16 26 0.026000
17 26 0.026000
18 28 0.028000
19 33 0.033000
20 36 0.036000
21 43 0.043000
22 50 0.050000
23 40 0.040000
24 42 0.042000
25 41 0.041000
26 51 0.051000
27 38 0.038000
28 30 0.030000
29 48 0.048000
30 42 0.042000
31 34 0.034000
32 26 0.026000
33 25 0.025000
34 18 0.018000
35 30 0.030000
36 27 0.027000
37 27 0.027000
38 20 0.020000
39 23 0.023000
40 16 0.016000
41 18 0.018000
42 9 0.009000
43 9 0.009000
44 11 0.011000
45 1 0.001000
46 1 0.001000
47 3 0.003000
48 1 0.001000
49 0 0.000000
50 0 0.000000
