n_agents n_rounds n_runs lam mean variance std
50 60 1000 0.45 25.290000 44.135900 6.643486
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 2 0.002000
9 1 0.001000
10 2 0.002000
11 5 0.005000
12 8 0.008000
13 12 0.012000
14 16 0.016000
15 16 0.016000
16 33 0.033000
17 27 0.027000
18 44 0.044000
19 40 0.040000
20 44 0.044000
21 58 0.058000
22 53 0.053000
23 58 0.058000
24 43 0.043000
25 59 0.059000
26 47 0.047000
27 50 0.050000
28 56 0.056000
29 52 0.052000
30 59 0.059000
31 36 0.036000
32 36 0.036000
33 29 0.029000
34 30 0.030000
35 16 0.016000
36 19 0.019000
37 12 0.012000
38 11 0.011000
39 12 0.012000
40 4 0.004000
41 3 0.003000
42 2 0.002000
43 2 0.002000
44 1 0.001000
45 0 0.000000
46 1 0.001000
47 0 0.000000
48 0 0.000000
49 0 0.000000
50 1 0.001000
