n_agents n_rounds n_runs lam mean variance std
50 50 1000 0.19 25.937000 70.961031 8.423837
outcome count fraction
1 0 0.000000
2 0 0.000000
3 1 0.001000
4 0 0.000000
5 0 0.000000
6 3 0.003000
7 2 0.002000
8 5 0.005000
9 9 0.009000
10 6 0.006000
11 9 0.009000
12 15 0.015000
13 21 0.021000
14 19 0.019000
15 30 0.030000
16 27 0.027000
17 21 0.021000
18 33 0.033000
19 29 0.029000
20 41 0.041000
21 40 0.040000
22 54 0.054000
23 43 0.043000
24 44 0.044000
25 42 0.042000
26 49 0.049000
27 36 0.036000
28 40 0.040000
29 44 0.044000
30 40 0.040000
31 32 0.032000
32 35 0.035000
33 22 0.022000
34 22 0.022000
35 27 0.027000
36 32 0.032000
37 25 0.025000
38 24 0.024000
39 18 0.018000
40 20 0.020000
41 9 0.009000
42 11 0.011000
43 10 0.010000
44 4 0.004000
45 2 0.002000
46 3 0.003000
47 1 0.001000
48 0 0.000000
49 0 0.000000
50 0 0.000000
