n_agents n_rounds n_runs lam mean variance std
50 50 1000 0.28 25.912000 62.834256 7.926806
outcome count fraction
1 0 0.000000
2 0 0.000000
3 1 0.001000
4 0 0.000000
5 0 0.000000
6 1 0.001000
7 0 0.000000
8 3 0.003000
9 1 0.001000
10 14 0.014000
11 6 0.006000
12 10 0.010000
13 18 0.018000
14 22 0.022000
15 28 0.028000
16 28 0.028000
17 22 0.022000
18 39 0.039000
19 26 0.026000
20 46 0.046000
21 40 0.040000
22 48 0.048000
23 46 0.046000
24 51 0.051000
25 49 0.049000
26 42 0.042000
27 36 0.036000
28 52 0.052000
29 39 0.039000
30 45 0.045000
31 33 0.033000
32 32 0.032000
33 27 0.027000
34 31 0.031000
35 29 0.029000
36 27 0.027000
37 21 0.021000
38 27 0.027000
39 16 0.016000
40 13 0.013000
41 9 0.009000
42 12 0.012000
43 4 0.004000
44 3 0.003000
45 2 0.002000
46 0 0.000000
47 1 0.001000
48 0 0.000000
49 0 0.000000
50 0 0.000000
