n_agents n_rounds n_runs lam mean variance std
50 50 1000 0.3 25.887000 60.824231 7.798989
outcome count fraction
1 0 0.000000
2 0 0.000000
3 1 0.001000
4 0 0.000000
5 0 0.000000
6 1 0.001000
7 0 0.000000
8 1 0.001000
9 3 0.003000
10 10 0.010000
11 9 0.009000
12 9 0.009000
13 17 0.017000
14 21 0.021000
15 29 0.029000
16 27 0.027000
17 22 0.022000
18 40 0.040000
19 24 0.024000
20 48 0.048000
21 39 0.039000
22 51 0.051000
23 49 0.049000
24 49 0.049000
25 48 0.048000
26 45 0.045000
27 39 0.039000
28 50 0.050000
29 37 0.037000
30 47 0.047000
31 33 0.033000
32 32 0.032000
33 29 0.029000
34 33 0.033000
35 29 0.029000
36 26 0.026000
37 24 0.024000
38 23 0.023000
39 12 0.012000
40 14 0.014000
41 8 0.008000
42 13 0.013000
43 3 0.003000
44 3 0.003000
45 1 0.001000
46 0 0.000000
47 1 0.001000
48 0 0.000000
49 0 0.000000
50 0 0.000000
