n_agents n_rounds n_runs lam mean variance std
50 200 1000 0.76 25.539000 10.326479 3.213484
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000000
13 0 0.000000
14 0 0.000000
15 0 0.000000
16 3 0.003000
17 3 0.003000
18 10 0.010000
19 15 0.015000
20 28 0.028000
21 43 0.043000
22 65 0.065000
23 100 0.100000
24 122 0.122000
25 101 0.101000
26 109 0.109000
27 125 0.125000
28 100 0.100000
29 71 0.071000
30 47 0.047000
31 27 0.027000
32 16 0.016000
33 9 0.009000
34 5 0.005000
35 1 0.001000
36 0 0.000000
37 0 0.000000
38 0 0.000000
39 0 0.000000
40 0 0.000000
41 0 0.000000
42 0 0.000000
43 0 0.000000
44 0 0.000000
45 0 0.000000
46 0 0.000000
47 0 0.000000
48 0 0.000000
49 0 0.000000
50 0 0.000000
