n_agents n_rounds n_runs lam mean variance std
50 200 1000 0.5 25.593000 34.401351 5.865266
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 1 0.001000
11 2 0.002000
12 7 0.007000
13 5 0.005000
14 14 0.014000
15 9 0.009000
16 32 0.032000
17 14 0.014000
18 44 0.044000
19 20 0.020000
20 66 0.066000
21 20 0.020000
22 97 0.097000
23 23 0.023000
24 104 0.104000
25 19 0.019000
26 102 0.102000
27 23 0.023000
28 82 0.082000
29 33 0.033000
30 73 0.073000
31 22 0.022000
32 80 0.080000
33 16 0.016000
34 36 0.036000
35 11 0.011000
36 17 0.017000
37 7 0.007000
38 9 0.009000
39 3 0.003000
40 9 0.009000
41 0 0.000000
42 0 0.000000
43 0 0.000000
44 0 0.000000
45 0 0.000000
46 0 0.000000
47 0 0.000000
48 0 0.000000
49 0 0.000000
50 0 0.000000
