n_agents n_rounds n_runs lam mean variance std
50 60 1000 0.44 25.300000 45.126000 6.717589
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 2 0.002000
9 1 0.001000
10 2 0.002000
11 8 0.008000
12 6 0.006000
13 16 0.016000
14 11 0.011000
15 19 0.019000
16 33 0.033000
17 27 0.027000
18 43 0.043000
19 39 0.039000
20 43 0.043000
21 62 0.062000
22 51 0.051000
23 56 0.056000
24 43 0.043000
25 59 0.059000
26 44 0.044000
27 52 0.052000
28 54 0.054000
29 50 0.050000
30 61 0.061000
31 37 0.037000
32 33 0.033000
33 33 0.033000
34 26 0.026000
35 20 0.020000
36 17 0.017000
37 12 0.012000
38 13 0.013000
39 12 0.012000
40 5 0.005000
41 3 0.003000
42 2 0.002000
43 2 0.002000
44 1 0.001000
45 0 0.000000
46 1 0.001000
47 0 0.000000
48 0 0.000000
49 0 0.000000
50 1 0.001000
