n_agents n_rounds n_runs lam mean variance std
50 80 1000 0.6 25.412000 26.334256 5.131691
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 1 0.001000
7 1 0.001000
8 1 0.001000
9 0 0.000000
10 0 0.000000
11 1 0.001000
12 2 0.002000
13 3 0.003000
14 3 0.003000
15 10 0.010000
16 9 0.009000
17 26 0.026000
18 30 0.030000
19 35 0.035000
20 51 0.051000
21 62 0.062000
22 58 0.058000
23 69 0.069000
24 74 0.074000
25 72 0.072000
26 83 0.083000
27 62 0.062000
28 65 0.065000
29 58 0.058000
30 49 0.049000
31 50 0.050000
32 42 0.042000
33 29 0.029000
34 17 0.017000
35 18 0.018000
36 8 0.008000
37 6 0.006000
38 2 0.002000
39 1 0.001000
40 0 0.000000
41 0 0.000000
42 1 0.001000
43 1 0.001000
44 0 0.000000
45 0 0.000000
46 0 0.000000
47 0 0.000000
48 0 0.000000
49 0 0.000000
50 0 0.000000
