n_agents n_rounds n_runs lam mean variance std
50 100 1000 0.52 25.434000 33.429644 5.781837
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 1 0.001000
10 0 0.000000
11 3 0.003000
12 3 0.003000
13 11 0.011000
14 5 0.005000
15 14 0.014000
16 22 0.022000
17 28 0.028000
18 38 0.038000
19 36 0.036000
20 50 0.050000
21 52 0.052000
22 48 0.048000
23 61 0.061000
24 72 0.072000
25 74 0.074000
26 60 0.060000
27 59 0.059000
28 57 0.057000
29 50 0.050000
30 52 0.052000
31 41 0.041000
32 47 0.047000
33 32 0.032000
34 27 0.027000
35 16 0.016000
36 16 0.016000
37 9 0.009000
38 4 0.004000
39 5 0.005000
40 5 0.005000
41 1 0.001000
42 0 0.000000
43 1 0.001000
44 0 0.000000
45 0 0.000000
46 0 0.000000
47 0 0.000000
48 0 0.000000
49 0 0.000000
50 0 0.000000
