n_agents n_rounds n_runs lam mean variance std
50 200 1000 0.65 25.576000 19.332224 4.396843
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000000
13 1 0.001000
14 2 0.002000
15 4 0.004000
16 12 0.012000
17 15 0.015000
18 22 0.022000
19 30 0.030000
20 40 0.040000
21 57 0.057000
22 71 0.071000
23 78 0.078000
24 85 0.085000
25 68 0.068000
26 88 0.088000
27 82 0.082000
28 75 0.075000
29 71 0.071000
30 68 0.068000
31 46 0.046000
32 34 0.034000
33 17 0.017000
34 14 0.014000
35 8 0.008000
36 8 0.008000
37 3 0.003000
38 1 0.001000
39 0 0.000000
40 0 0.000000
41 0 0.000000
42 0 0.000000
43 0 0.000000
44 0 0.000000
45 0 0.000000
46 0 0.000000
47 0 0.000000
48 0 0.000000
49 0 0.000000
50 0 0.000000
