lambda variance std t_mix n_rounds
0.0000 360.984448 18.999591 10 50
0.0100 360.108773 18.976532 10 50
0.0200 355.849722 18.863979 10 50
0.0300 352.969898 18.787493 10 50
0.0400 350.084864 18.710555 10 50
0.0500 347.269392 18.635165 10 50
0.0600 344.140864 18.551034 10 50
0.0700 341.512308 18.480052 10 50
0.0800 338.380066 18.395110 20 50
0.0900 335.325120 18.311885 10 50
0.1000 332.256728 18.227911 10 50
0.1100 328.816926 18.133310 10 50
0.1200 326.231248 18.061873 10 50
0.1300 323.031013 17.973064 10 50
0.1400 319.766112 17.882005 10 50
0.1500 316.615125 17.793682 10 50
0.1600 313.913728 17.717611 10 50
0.1700 310.408541 17.618415 10 50
0.1800 307.613445 17.538912 10 50
0.1900 304.066093 17.437491 20 50
0.2000 301.057248 17.351001 20 50
0.2100 285.930256 16.909472 40 80
0.2200 297.167173 17.238537 30 60
0.2300 278.258080 16.681069 40 80
0.2400 275.015351 16.583587 40 80
0.2500 257.693463 16.052833 50 100
0.2600 266.859764 16.335843 40 80
0.2700 263.153989 16.222022 40 80
0.2800 259.693960 16.115023 40 80
0.2900 255.857052 15.995532 40 80
0.3000 251.928315 15.872250 40 80
0.3100 248.145989 15.752650 40 80
0.3200 243.862622 15.616101 40 80
0.3300 239.244547 15.467532 40 80
0.3400 213.573932 14.614169 100 200
0.3500 232.756444 15.256358 40 80
0.3600 228.658160 15.121447 40 80
0.3700 224.895331 14.996511 40 80
0.3800 194.862488 13.959315 100 200
0.3900 190.169956 13.790212 100 200
0.4000 185.964488 13.636880 100 200
0.4100 181.436453 13.469835 100 200
0.4200 177.053331 13.306139 100 200
0.4300 173.414675 13.168701 100 200
0.4400 168.138826 12.966836 100 200
0.4500 164.086689 12.809633 100 200
0.4600 159.607997 12.633606 100 200
0.4700 155.044464 12.451685 100 200
0.4800 151.279284 12.299564 100 200
0.4900 147.632661 12.150418 100 200
0.5000 135.055511 11.621339 200 400
0.5100 137.048372 11.706766 100 200
0.5200 133.444848 11.551833 100 200
0.5300 129.756496 11.391071 100 200
0.5400 125.659546 11.209797 100 200
0.5500 121.510340 11.023173 100 200
0.5600 117.578053 10.843341 100 200
0.5700 113.042433 10.632142 100 200
0.5800 101.887500 10.093934 200 400
0.5900 98.296766 9.914473 200 400
0.6000 94.127338 9.701924 200 400
0.6100 98.353989 9.917358 100 200
0.6200 86.621029 9.307042 200 400
0.6300 82.772400 9.097934 200 400
0.6400 79.306272 8.905407 200 400
0.6500 75.886360 8.711278 200 400
0.6600 71.821931 8.474782 200 400
0.6700 69.805418 8.354964 200 400
0.6800 65.431904 8.088999 200 400
0.6900 61.969578 7.872076 200 400
0.7000 59.017435 7.682281 200 400
0.7100 56.189915 7.495993 200 400
0.7200 52.860986 7.270556 200 400
0.7300 49.410238 7.029242 200 400
0.7400 46.528789 6.821201 200 400
0.7500 43.555301 6.599644 200 400
0.7600 40.579507 6.370205 200 400
0.7700 38.042389 6.167851 200 400
0.7800 35.426235 5.951994 200 400
0.7900 32.931376 5.738587 200 400
0.8000 30.199531 5.495410 200 400
0.8100 27.896766 5.281739 200 400
0.8200 25.505751 5.050322 200 400
0.8300 23.464864 4.844054 200 400
0.8400 21.395773 4.625557 200 400
0.8500 19.590698 4.426138 200 400
0.8600 17.938200 4.235351 200 400
0.8700 14.371960 3.791037 500 1000
0.8800 12.375913 3.517942 500 1000
0.8900 10.877711 3.298138 500 1000
0.9000 9.335785 3.055452 500 1000
0.9100 7.988656 2.826421 500 1000
0.9200 5.855972 2.419911 1000 2000
0.9300 4.670343 2.161098 1000 2000
0.9400 3.665964 1.914671 2000 4000
0.9500 2.611328 1.615960 2000 4000
0.9600 1.900546 1.378603 3000 6000
0.9700 1.075864 1.037239 4000 8000
0.9800 3.610933 1.900246 4000 8000
0.9900 30.480221 5.520890 200 400
