lambda variance std t_mix n_rounds
0.0000 87.251775 9.340866 10 50
0.0100 87.251775 9.340866 10 50
0.0200 86.906704 9.322377 10 50
0.0300 85.571631 9.250494 10 50
0.0400 84.505911 9.192710 10 50
0.0500 80.200551 8.955476 30 60
0.0600 82.587631 9.087774 10 50
0.0700 81.804975 9.044610 10 50
0.0800 80.669775 8.981635 10 50
0.0900 79.965631 8.942350 10 50
0.1000 79.264556 8.903064 10 50
0.1100 78.350064 8.851557 10 50
0.1200 77.622556 8.810366 10 50
0.1300 76.434636 8.742690 10 50
0.1400 75.503904 8.689298 10 50
0.1500 74.958156 8.657838 10 50
0.1600 73.919031 8.597618 10 50
0.1700 72.297031 8.502766 10 50
0.1800 71.897904 8.479263 10 50
0.1900 70.961031 8.423837 10 50
0.2000 70.146511 8.375351 10 50
0.2100 69.138775 8.314973 10 50
0.2200 68.445376 8.273172 10 50
0.2300 67.759959 8.231644 10 50
0.2400 66.880439 8.178046 10 50
0.2500 65.570604 8.097568 20 50
0.2600 64.517164 8.032258 10 50
0.2700 63.821536 7.988838 10 50
0.2800 62.834256 7.926806 10 50
0.2900 61.962396 7.871620 10 50
0.3000 60.824231 7.798989 20 50
0.3100 59.705775 7.726951 20 50
0.3200 58.701871 7.661715 20 50
0.3300 57.605311 7.589816 20 50
0.3400 57.467119 7.580707 20 50
0.3500 56.037591 7.485826 20 50
0.3600 54.926044 7.411211 20 50
0.3700 51.977484 7.209541 30 60
0.3800 50.862879 7.131822 30 60
0.3900 49.700176 7.049835 30 60
0.4000 48.885824 6.991840 30 60
0.4100 47.780639 6.912354 30 60
0.4200 46.810911 6.841850 30 60
0.4300 45.991479 6.781702 30 60
0.4400 45.126000 6.717589 30 60
0.4500 44.135900 6.643486 30 60
0.4600 43.279519 6.578717 30 60
0.4700 42.418876 6.512978 30 60
0.4800 41.723024 6.459336 30 60
0.4900 41.407375 6.434856 30 60
0.5000 34.401351 5.865266 100 200
0.5100 33.664671 5.802126 50 100
0.5200 33.429644 5.781837 50 100
0.5300 32.547511 5.705043 50 100
0.5400 31.377900 5.601598 40 80
0.5500 30.632000 5.534618 40 80
0.5600 29.820000 5.460769 40 80
0.5700 28.638544 5.351499 40 80
0.5800 27.817900 5.274268 40 80
0.5900 27.002256 5.196370 40 80
0.6000 26.334256 5.131691 40 80
0.6100 25.729536 5.072429 40 80
0.6200 24.634975 4.963363 40 80
0.6300 23.034064 4.799382 50 100
0.6400 22.275791 4.719724 50 100
0.6500 19.332224 4.396843 100 200
0.6600 17.938079 4.235337 100 200
0.6700 17.842944 4.224091 100 200
0.6800 16.570751 4.070719 100 200
0.6900 15.926519 3.990804 100 200
0.7000 15.014911 3.874908 100 200
0.7100 14.208556 3.769424 100 200
0.7200 13.525884 3.677755 100 200
0.7300 12.866479 3.586987 100 200
0.7400 12.096751 3.478038 100 200
0.7500 11.197296 3.346236 100 200
0.7600 10.326479 3.213484 100 200
0.7700 9.711696 3.116359 100 200
0.7800 9.282751 3.046761 100 200
0.7900 8.610976 2.934446 100 200
0.8000 7.922151 2.814632 100 200
0.8100 7.364911 2.713837 100 200
0.8200 6.779159 2.603682 100 200
0.8300 6.465775 2.542789 100 200
0.8400 5.533719 2.352386 200 400
0.8500 5.080784 2.254059 200 400
0.8600 4.763164 2.182467 200 400
0.8700 4.240000 2.059126 200 400
0.8800 3.817900 1.953945 200 400
0.8900 3.576975 1.891289 200 400
0.9000 2.484224 1.576142 500 1000
0.9100 2.044975 1.430026 500 1000
0.9200 1.761676 1.327281 500 1000
0.9300 1.319516 1.148702 1000 2000
0.9400 0.997216 0.998607 1000 2000
0.9500 0.905724 0.951695 2000 4000
0.9600 0.575159 0.758392 3000 6000
0.9700 2.758336 1.660824 3000 6000
0.9800 14.167799 3.764014 50 100
0.9900 18.436671 4.293794 40 80
