n_agents n_rounds n_runs lam mean variance std
100 400 3000 0.65 50.560333 75.886360 8.711278
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000000
13 0 0.000000
14 0 0.000000
15 0 0.000000
16 0 0.000000
17 0 0.000000
18 0 0.000000
19 0 0.000000
20 0 0.000000
21 0 0.000000
22 1 0.000333
23 0 0.000000
24 2 0.000667
25 0 0.000000
26 1 0.000333
27 4 0.001333
28 3 0.001000
29 5 0.001667
30 10 0.003333
31 8 0.002667
32 13 0.004333
33 18 0.006000
34 32 0.010667
35 27 0.009000
36 49 0.016333
37 38 0.012667
38 67 0.022333
39 58 0.019333
40 73 0.024333
41 68 0.022667
42 88 0.029333
43 82 0.027333
44 109 0.036333
45 108 0.036000
46 128 0.042667
47 117 0.039000
48 116 0.038667
49 107 0.035667
50 156 0.052000
51 99 0.033000
52 141 0.047000
53 121 0.040333
54 125 0.041667
55 124 0.041333
56 125 0.041667
57 120 0.040000
58 85 0.028333
59 77 0.025667
60 106 0.035333
61 66 0.022000
62 68 0.022667
63 53 0.017667
64 49 0.016333
65 32 0.010667
66 32 0.010667
67 27 0.009000
68 18 0.006000
69 12 0.004000
70 11 0.003667
71 9 0.003000
72 6 0.002000
73 3 0.001000
74 0 0.000000
75 2 0.000667
76 0 0.000000
77 0 0.000000
78 1 0.000333
79 0 0.000000
80 0 0.000000
81 0 0.000000
82 0 0.000000
83 0 0.000000
84 0 0.000000
85 0 0.000000
86 0 0.000000
87 0 0.000000
88 0 0.000000
89 0 0.000000
90 0 0.000000
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
