n_agents n_rounds n_runs lam mean variance std
100 200 3000 0.43 50.224333 173.414675 13.168701
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 1 0.000333
12 0 0.000000
13 0 0.000000
14 2 0.000667
15 3 0.001000
16 1 0.000333
17 4 0.001333
18 3 0.001000
19 2 0.000667
20 4 0.001333
21 9 0.003000
22 13 0.004333
23 15 0.005000
24 9 0.003000
25 22 0.007333
26 17 0.005667
27 18 0.006000
28 19 0.006333
29 30 0.010000
30 34 0.011333
31 36 0.012000
32 45 0.015000
33 38 0.012667
34 44 0.014667
35 52 0.017333
36 54 0.018000
37 58 0.019333
38 56 0.018667
39 60 0.020000
40 72 0.024000
41 75 0.025000
42 75 0.025000
43 87 0.029000
44 80 0.026667
45 93 0.031000
46 79 0.026333
47 73 0.024333
48 93 0.031000
49 73 0.024333
50 87 0.029000
51 78 0.026000
52 64 0.021333
53 77 0.025667
54 82 0.027333
55 89 0.029667
56 82 0.027333
57 84 0.028000
58 75 0.025000
59 76 0.025333
60 67 0.022333
61 52 0.017333
62 66 0.022000
63 62 0.020667
64 61 0.020333
65 58 0.019333
66 35 0.011667
67 47 0.015667
68 37 0.012333
69 44 0.014667
70 32 0.010667
71 30 0.010000
72 35 0.011667
73 34 0.011333
74 24 0.008000
75 8 0.002667
76 11 0.003667
77 11 0.003667
78 12 0.004000
79 7 0.002333
80 4 0.001333
81 8 0.002667
82 1 0.000333
83 3 0.001000
84 3 0.001000
85 1 0.000333
86 1 0.000333
87 0 0.000000
88 2 0.000667
89 1 0.000333
90 0 0.000000
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
