n_agents n_rounds n_runs lam mean variance std
100 50 3000 0.09 50.196333 335.325120 18.311885
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 2 0.000667
5 4 0.001333
6 2 0.000667
7 5 0.001667
8 7 0.002333
9 5 0.001667
10 7 0.002333
11 4 0.001333
12 9 0.003000
13 18 0.006000
14 14 0.004667
15 15 0.005000
16 5 0.001667
17 13 0.004333
18 15 0.005000
19 26 0.008667
20 11 0.003667
21 20 0.006667
22 21 0.007000
23 21 0.007000
24 24 0.008000
25 30 0.010000
26 32 0.010667
27 25 0.008333
28 48 0.016000
29 38 0.012667
30 33 0.011000
31 41 0.013667
32 37 0.012333
33 43 0.014333
34 35 0.011667
35 42 0.014000
36 58 0.019333
37 54 0.018000
38 53 0.017667
39 53 0.017667
40 54 0.018000
41 66 0.022000
42 57 0.019000
43 57 0.019000
44 61 0.020333
45 48 0.016000
46 74 0.024667
47 62 0.020667
48 54 0.018000
49 55 0.018333
50 52 0.017333
51 68 0.022667
52 44 0.014667
53 75 0.025000
54 80 0.026667
55 59 0.019667
56 60 0.020000
57 58 0.019333
58 61 0.020333
59 52 0.017333
60 54 0.018000
61 59 0.019667
62 55 0.018333
63 47 0.015667
64 41 0.013667
65 44 0.014667
66 44 0.014667
67 42 0.014000
68 37 0.012333
69 28 0.009333
70 46 0.015333
71 35 0.011667
72 35 0.011667
73 31 0.010333
74 34 0.011333
75 29 0.009667
76 20 0.006667
77 23 0.007667
78 24 0.008000
79 13 0.004333
80 22 0.007333
81 25 0.008333
82 24 0.008000
83 17 0.005667
84 8 0.002667
85 13 0.004333
86 17 0.005667
87 15 0.005000
88 10 0.003333
89 7 0.002333
90 5 0.001667
91 6 0.002000
92 9 0.003000
93 5 0.001667
94 1 0.000333
95 5 0.001667
96 1 0.000333
97 2 0.000667
98 0 0.000000
99 0 0.000000
100 0 0.000000
