n_agents n_rounds n_runs lam mean variance std
100 200 3000 0.4 50.215667 185.964488 13.636880
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 1 0.000333
11 0 0.000000
12 0 0.000000
13 2 0.000667
14 1 0.000333
15 4 0.001333
16 2 0.000667
17 3 0.001000
18 4 0.001333
19 3 0.001000
20 7 0.002333
21 14 0.004667
22 12 0.004000
23 17 0.005667
24 12 0.004000
25 20 0.006667
26 23 0.007667
27 17 0.005667
28 24 0.008000
29 26 0.008667
30 46 0.015333
31 37 0.012333
32 34 0.011333
33 37 0.012333
34 52 0.017333
35 57 0.019000
36 40 0.013333
37 60 0.020000
38 62 0.020667
39 60 0.020000
40 68 0.022667
41 74 0.024667
42 77 0.025667
43 78 0.026000
44 81 0.027000
45 87 0.029000
46 76 0.025333
47 80 0.026667
48 85 0.028333
49 78 0.026000
50 74 0.024667
51 74 0.024667
52 58 0.019333
53 90 0.030000
54 69 0.023000
55 80 0.026667
56 79 0.026333
57 83 0.027667
58 87 0.029000
59 64 0.021333
60 69 0.023000
61 61 0.020333
62 50 0.016667
63 62 0.020667
64 59 0.019667
65 60 0.020000
66 45 0.015000
67 32 0.010667
68 43 0.014333
69 44 0.014667
70 36 0.012000
71 31 0.010333
72 35 0.011667
73 28 0.009333
74 36 0.012000
75 14 0.004667
76 14 0.004667
77 8 0.002667
78 13 0.004333
79 10 0.003333
80 8 0.002667
81 4 0.001333
82 7 0.002333
83 1 0.000333
84 3 0.001000
85 3 0.001000
86 1 0.000333
87 1 0.000333
88 1 0.000333
89 1 0.000333
90 1 0.000333
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
