n_agents n_rounds n_runs lam mean variance std
100 50 3000 0.14 50.204667 319.766112 17.882005
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 2 0.000667
5 2 0.000667
6 2 0.000667
7 0 0.000000
8 9 0.003000
9 6 0.002000
10 5 0.001667
11 3 0.001000
12 5 0.001667
13 12 0.004000
14 15 0.005000
15 18 0.006000
16 12 0.004000
17 8 0.002667
18 16 0.005333
19 23 0.007667
20 11 0.003667
21 18 0.006000
22 21 0.007000
23 23 0.007667
24 22 0.007333
25 24 0.008000
26 33 0.011000
27 27 0.009000
28 48 0.016000
29 37 0.012333
30 33 0.011000
31 37 0.012333
32 42 0.014000
33 45 0.015000
34 32 0.010667
35 49 0.016333
36 51 0.017000
37 58 0.019333
38 55 0.018333
39 51 0.017000
40 58 0.019333
41 64 0.021333
42 58 0.019333
43 68 0.022667
44 52 0.017333
45 55 0.018333
46 72 0.024000
47 67 0.022333
48 60 0.020000
49 48 0.016000
50 54 0.018000
51 64 0.021333
52 62 0.020667
53 64 0.021333
54 76 0.025333
55 61 0.020333
56 60 0.020000
57 63 0.021000
58 63 0.021000
59 51 0.017000
60 54 0.018000
61 63 0.021000
62 53 0.017667
63 48 0.016000
64 46 0.015333
65 43 0.014333
66 42 0.014000
67 48 0.016000
68 33 0.011000
69 36 0.012000
70 40 0.013333
71 36 0.012000
72 33 0.011000
73 33 0.011000
74 30 0.010000
75 29 0.009667
76 25 0.008333
77 18 0.006000
78 26 0.008667
79 18 0.006000
80 23 0.007667
81 19 0.006333
82 18 0.006000
83 15 0.005000
84 10 0.003333
85 14 0.004667
86 20 0.006667
87 10 0.003333
88 7 0.002333
89 7 0.002333
90 7 0.002333
91 5 0.001667
92 6 0.002000
93 3 0.001000
94 1 0.000333
95 4 0.001333
96 1 0.000333
97 1 0.000333
98 0 0.000000
99 0 0.000000
100 0 0.000000
