n_agents n_rounds n_runs lam mean variance std
100 100 3000 0.25 50.698000 257.693463 16.052833
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 1 0.000333
9 1 0.000333
10 1 0.000333
11 5 0.001667
12 4 0.001333
13 1 0.000333
14 9 0.003000
15 8 0.002667
16 9 0.003000
17 4 0.001333
18 9 0.003000
19 9 0.003000
20 18 0.006000
21 7 0.002333
22 23 0.007667
23 10 0.003333
24 23 0.007667
25 20 0.006667
26 37 0.012333
27 24 0.008000
28 33 0.011000
29 30 0.010000
30 43 0.014333
31 28 0.009333
32 41 0.013667
33 37 0.012333
34 60 0.020000
35 42 0.014000
36 63 0.021000
37 42 0.014000
38 72 0.024000
39 44 0.014667
40 100 0.033333
41 44 0.014667
42 86 0.028667
43 46 0.015333
44 74 0.024667
45 60 0.020000
46 77 0.025667
47 45 0.015000
48 75 0.025000
49 66 0.022000
50 83 0.027667
51 78 0.026000
52 81 0.027000
53 51 0.017000
54 73 0.024333
55 55 0.018333
56 71 0.023667
57 53 0.017667
58 53 0.017667
59 65 0.021667
60 76 0.025333
61 39 0.013000
62 61 0.020333
63 36 0.012000
64 75 0.025000
65 37 0.012333
66 49 0.016333
67 33 0.011000
68 55 0.018333
69 32 0.010667
70 38 0.012667
71 32 0.010667
72 42 0.014000
73 24 0.008000
74 44 0.014667
75 27 0.009000
76 33 0.011000
77 21 0.007000
78 29 0.009667
79 14 0.004667
80 16 0.005333
81 19 0.006333
82 11 0.003667
83 6 0.002000
84 13 0.004333
85 12 0.004000
86 13 0.004333
87 4 0.001333
88 3 0.001000
89 4 0.001333
90 3 0.001000
91 1 0.000333
92 1 0.000333
93 0 0.000000
94 0 0.000000
95 1 0.000333
96 0 0.000000
97 1 0.000333
98 1 0.000333
99 0 0.000000
100 0 0.000000
