n_agents n_rounds n_runs lam mean variance std
100 50 3000 0.05 50.191333 347.269392 18.635165
outcome count fraction
1 0 0.000000
2 0 0.000000
3 1 0.000333
4 3 0.001000
5 3 0.001000
6 6 0.002000
7 5 0.001667
8 5 0.001667
9 6 0.002000
10 10 0.003333
11 8 0.002667
12 9 0.003000
13 15 0.005000
14 10 0.003333
15 14 0.004667
16 13 0.004333
17 10 0.003333
18 20 0.006667
19 24 0.008000
20 13 0.004333
21 18 0.006000
22 18 0.006000
23 23 0.007667
24 28 0.009333
25 32 0.010667
26 22 0.007333
27 33 0.011000
28 48 0.016000
29 36 0.012000
30 42 0.014000
31 37 0.012333
32 34 0.011333
33 45 0.015000
34 26 0.008667
35 45 0.015000
36 59 0.019667
37 52 0.017333
38 62 0.020667
39 45 0.015000
40 52 0.017333
41 65 0.021667
42 53 0.017667
43 58 0.019333
44 58 0.019333
45 49 0.016333
46 73 0.024333
47 65 0.021667
48 49 0.016333
49 52 0.017333
50 55 0.018333
51 64 0.021333
52 49 0.016333
53 70 0.023333
54 83 0.027667
55 55 0.018333
56 62 0.020667
57 62 0.020667
58 51 0.017000
59 56 0.018667
60 49 0.016333
61 66 0.022000
62 49 0.016333
63 44 0.014667
64 44 0.014667
65 47 0.015667
66 39 0.013000
67 43 0.014333
68 34 0.011333
69 34 0.011333
70 41 0.013667
71 41 0.013667
72 33 0.011000
73 29 0.009667
74 32 0.010667
75 24 0.008000
76 27 0.009000
77 21 0.007000
78 26 0.008667
79 18 0.006000
80 16 0.005333
81 20 0.006667
82 27 0.009000
83 19 0.006333
84 15 0.005000
85 11 0.003667
86 18 0.006000
87 14 0.004667
88 10 0.003333
89 8 0.002667
90 8 0.002667
91 2 0.000667
92 8 0.002667
93 10 0.003333
94 4 0.001333
95 4 0.001333
96 1 0.000333
97 2 0.000667
98 0 0.000000
99 1 0.000333
100 0 0.000000
