n_agents n_rounds n_runs lam mean variance std
100 200 3000 0.56 50.260667 117.578053 10.843341
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000000
13 0 0.000000
14 0 0.000000
15 0 0.000000
16 0 0.000000
17 1 0.000333
18 2 0.000667
19 2 0.000667
20 1 0.000333
21 3 0.001000
22 2 0.000667
23 2 0.000667
24 3 0.001000
25 8 0.002667
26 3 0.001000
27 21 0.007000
28 13 0.004333
29 14 0.004667
30 15 0.005000
31 29 0.009667
32 25 0.008333
33 37 0.012333
34 39 0.013000
35 62 0.020667
36 45 0.015000
37 58 0.019333
38 65 0.021667
39 60 0.020000
40 73 0.024333
41 77 0.025667
42 77 0.025667
43 84 0.028000
44 107 0.035667
45 97 0.032333
46 107 0.035667
47 98 0.032667
48 110 0.036667
49 86 0.028667
50 92 0.030667
51 101 0.033667
52 91 0.030333
53 113 0.037667
54 106 0.035333
55 77 0.025667
56 96 0.032000
57 107 0.035667
58 75 0.025000
59 87 0.029000
60 79 0.026333
61 77 0.025667
62 58 0.019333
63 64 0.021333
64 59 0.019667
65 47 0.015667
66 34 0.011333
67 36 0.012000
68 43 0.014333
69 37 0.012333
70 21 0.007000
71 19 0.006333
72 12 0.004000
73 9 0.003000
74 6 0.002000
75 7 0.002333
76 6 0.002000
77 6 0.002000
78 1 0.000333
79 2 0.000667
80 3 0.001000
81 0 0.000000
82 1 0.000333
83 1 0.000333
84 0 0.000000
85 1 0.000333
86 0 0.000000
87 0 0.000000
88 0 0.000000
89 0 0.000000
90 0 0.000000
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
