n_agents n_rounds n_runs lam mean variance std
100 200 3000 0.46 50.231667 159.607997 12.633606
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000000
13 1 0.000333
14 1 0.000333
15 2 0.000667
16 2 0.000667
17 1 0.000333
18 4 0.001333
19 1 0.000333
20 4 0.001333
21 4 0.001333
22 6 0.002000
23 15 0.005000
24 12 0.004000
25 11 0.003667
26 25 0.008333
27 13 0.004333
28 20 0.006667
29 22 0.007333
30 38 0.012667
31 28 0.009333
32 45 0.015000
33 44 0.014667
34 45 0.015000
35 46 0.015333
36 54 0.018000
37 60 0.020000
38 56 0.018667
39 60 0.020000
40 70 0.023333
41 71 0.023667
42 83 0.027667
43 90 0.030000
44 75 0.025000
45 96 0.032000
46 90 0.030000
47 81 0.027000
48 90 0.030000
49 77 0.025667
50 89 0.029667
51 81 0.027000
52 71 0.023667
53 84 0.028000
54 86 0.028667
55 90 0.030000
56 90 0.030000
57 76 0.025333
58 87 0.029000
59 74 0.024667
60 58 0.019333
61 72 0.024000
62 64 0.021333
63 64 0.021333
64 56 0.018667
65 50 0.016667
66 41 0.013667
67 43 0.014333
68 52 0.017333
69 25 0.008333
70 33 0.011000
71 36 0.012000
72 30 0.010000
73 32 0.010667
74 13 0.004333
75 7 0.002333
76 10 0.003333
77 12 0.004000
78 5 0.001667
79 9 0.003000
80 6 0.002000
81 1 0.000333
82 2 0.000667
83 3 0.001000
84 1 0.000333
85 1 0.000333
86 0 0.000000
87 2 0.000667
88 1 0.000333
89 0 0.000000
90 0 0.000000
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
