n_agents n_rounds n_runs lam mean variance std
100 200 3000 0.49 50.252333 147.632661 12.150418
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000000
13 0 0.000000
14 1 0.000333
15 1 0.000333
16 2 0.000667
17 2 0.000667
18 1 0.000333
19 1 0.000333
20 5 0.001667
21 2 0.000667
22 5 0.001667
23 7 0.002333
24 16 0.005333
25 9 0.003000
26 12 0.004000
27 20 0.006667
28 17 0.005667
29 25 0.008333
30 26 0.008667
31 40 0.013333
32 26 0.008667
33 43 0.014333
34 50 0.016667
35 51 0.017000
36 53 0.017667
37 52 0.017333
38 67 0.022333
39 63 0.021000
40 63 0.021000
41 72 0.024000
42 82 0.027333
43 102 0.034000
44 72 0.024000
45 102 0.034000
46 93 0.031000
47 89 0.029667
48 83 0.027667
49 88 0.029333
50 86 0.028667
51 86 0.028667
52 74 0.024667
53 93 0.031000
54 92 0.030667
55 83 0.027667
56 86 0.028667
57 91 0.030333
58 87 0.029000
59 63 0.021000
60 75 0.025000
61 70 0.023333
62 65 0.021667
63 56 0.018667
64 67 0.022333
65 42 0.014000
66 49 0.016333
67 48 0.016000
68 35 0.011667
69 29 0.009667
70 36 0.012000
71 38 0.012667
72 29 0.009667
73 15 0.005000
74 10 0.003333
75 8 0.002667
76 12 0.004000
77 7 0.002333
78 9 0.003000
79 4 0.001333
80 3 0.001000
81 1 0.000333
82 3 0.001000
83 1 0.000333
84 1 0.000333
85 1 0.000333
86 1 0.000333
87 0 0.000000
88 1 0.000333
89 0 0.000000
90 0 0.000000
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
