n_agents n_rounds n_runs lam mean variance std
100 50 3000 0.17 50.207667 310.408541 17.618415
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 2 0.000667
5 2 0.000667
6 1 0.000333
7 1 0.000333
8 4 0.001333
9 9 0.003000
10 6 0.002000
11 2 0.000667
12 4 0.001333
13 9 0.003000
14 18 0.006000
15 12 0.004000
16 11 0.003667
17 7 0.002333
18 21 0.007000
19 21 0.007000
20 15 0.005000
21 15 0.005000
22 14 0.004667
23 24 0.008000
24 25 0.008333
25 26 0.008667
26 29 0.009667
27 28 0.009333
28 44 0.014667
29 43 0.014333
30 34 0.011333
31 32 0.010667
32 38 0.012667
33 43 0.014333
34 39 0.013000
35 48 0.016000
36 60 0.020000
37 50 0.016667
38 60 0.020000
39 47 0.015667
40 57 0.019000
41 75 0.025000
42 55 0.018333
43 64 0.021333
44 55 0.018333
45 57 0.019000
46 73 0.024333
47 65 0.021667
48 61 0.020333
49 53 0.017667
50 50 0.016667
51 77 0.025667
52 51 0.017000
53 68 0.022667
54 72 0.024000
55 61 0.020333
56 61 0.020333
57 71 0.023667
58 61 0.020333
59 51 0.017000
60 54 0.018000
61 65 0.021667
62 47 0.015667
63 58 0.019333
64 37 0.012333
65 46 0.015333
66 47 0.015667
67 52 0.017333
68 32 0.010667
69 36 0.012000
70 33 0.011000
71 33 0.011000
72 34 0.011333
73 36 0.012000
74 36 0.012000
75 25 0.008333
76 28 0.009333
77 15 0.005000
78 29 0.009667
79 16 0.005333
80 22 0.007333
81 14 0.004667
82 20 0.006667
83 14 0.004667
84 9 0.003000
85 20 0.006667
86 13 0.004333
87 8 0.002667
88 7 0.002333
89 8 0.002667
90 5 0.001667
91 5 0.001667
92 6 0.002000
93 2 0.000667
94 1 0.000333
95 4 0.001333
96 0 0.000000
97 1 0.000333
98 0 0.000000
99 0 0.000000
100 0 0.000000
