n_agents n_rounds n_runs lam mean variance std
100 80 3000 0.36 50.580667 228.658160 15.121447
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 1 0.000333
11 0 0.000000
12 1 0.000333
13 3 0.001000
14 3 0.001000
15 6 0.002000
16 9 0.003000
17 3 0.001000
18 4 0.001333
19 5 0.001667
20 8 0.002667
21 12 0.004000
22 12 0.004000
23 12 0.004000
24 27 0.009000
25 28 0.009333
26 39 0.013000
27 27 0.009000
28 23 0.007667
29 31 0.010333
30 25 0.008333
31 50 0.016667
32 46 0.015333
33 49 0.016333
34 47 0.015667
35 57 0.019000
36 46 0.015333
37 57 0.019000
38 59 0.019667
39 60 0.020000
40 63 0.021000
41 62 0.020667
42 73 0.024333
43 59 0.019667
44 71 0.023667
45 71 0.023667
46 76 0.025333
47 65 0.021667
48 80 0.026667
49 61 0.020333
50 64 0.021333
51 89 0.029667
52 67 0.022333
53 67 0.022333
54 63 0.021000
55 73 0.024333
56 78 0.026000
57 62 0.020667
58 64 0.021333
59 71 0.023667
60 73 0.024333
61 75 0.025000
62 69 0.023000
63 50 0.016667
64 47 0.015667
65 32 0.010667
66 39 0.013000
67 55 0.018333
68 38 0.012667
69 40 0.013333
70 33 0.011000
71 39 0.013000
72 31 0.010333
73 27 0.009000
74 27 0.009000
75 33 0.011000
76 32 0.010667
77 24 0.008000
78 15 0.005000
79 18 0.006000
80 14 0.004667
81 8 0.002667
82 13 0.004333
83 4 0.001333
84 8 0.002667
85 5 0.001667
86 5 0.001667
87 7 0.002333
88 1 0.000333
89 1 0.000333
90 3 0.001000
91 1 0.000333
92 0 0.000000
93 3 0.001000
94 1 0.000333
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
