n_agents n_rounds n_runs lam mean variance std
100 200 3000 0.41000000000000003 50.220333 181.436453 13.469835
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 1 0.000333
11 0 0.000000
12 0 0.000000
13 0 0.000000
14 3 0.001000
15 2 0.000667
16 4 0.001333
17 2 0.000667
18 4 0.001333
19 3 0.001000
20 6 0.002000
21 10 0.003333
22 12 0.004000
23 16 0.005333
24 17 0.005667
25 15 0.005000
26 23 0.007667
27 19 0.006333
28 23 0.007667
29 24 0.008000
30 44 0.014667
31 36 0.012000
32 37 0.012333
33 37 0.012333
34 48 0.016000
35 57 0.019000
36 45 0.015000
37 59 0.019667
38 62 0.020667
39 59 0.019667
40 63 0.021000
41 77 0.025667
42 77 0.025667
43 81 0.027000
44 89 0.029667
45 83 0.027667
46 82 0.027333
47 72 0.024000
48 89 0.029667
49 74 0.024667
50 80 0.026667
51 74 0.024667
52 60 0.020000
53 82 0.027333
54 78 0.026000
55 86 0.028667
56 77 0.025667
57 89 0.029667
58 78 0.026000
59 71 0.023667
60 69 0.023000
61 54 0.018000
62 56 0.018667
63 63 0.021000
64 57 0.019000
65 61 0.020333
66 45 0.015000
67 29 0.009667
68 48 0.016000
69 43 0.014333
70 33 0.011000
71 35 0.011667
72 27 0.009000
73 36 0.012000
74 28 0.009333
75 15 0.005000
76 11 0.003667
77 10 0.003333
78 11 0.003667
79 10 0.003333
80 8 0.002667
81 3 0.001000
82 7 0.002333
83 1 0.000333
84 3 0.001000
85 3 0.001000
86 1 0.000333
87 0 0.000000
88 2 0.000667
89 0 0.000000
90 1 0.000333
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
