n_agents n_rounds n_runs lam mean variance std
100 400 3000 0.64 50.555333 79.306272 8.905407
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000000
13 0 0.000000
14 0 0.000000
15 0 0.000000
16 0 0.000000
17 0 0.000000
18 0 0.000000
19 0 0.000000
20 0 0.000000
21 0 0.000000
22 1 0.000333
23 1 0.000333
24 1 0.000333
25 0 0.000000
26 3 0.001000
27 4 0.001333
28 3 0.001000
29 9 0.003000
30 5 0.001667
31 10 0.003333
32 16 0.005333
33 20 0.006667
34 33 0.011000
35 36 0.012000
36 42 0.014000
37 41 0.013667
38 64 0.021333
39 63 0.021000
40 70 0.023333
41 72 0.024000
42 84 0.028000
43 87 0.029000
44 108 0.036000
45 115 0.038333
46 121 0.040333
47 115 0.038333
48 102 0.034000
49 111 0.037000
50 145 0.048333
51 117 0.039000
52 129 0.043000
53 118 0.039333
54 115 0.038333
55 131 0.043667
56 109 0.036333
57 121 0.040333
58 87 0.029000
59 80 0.026667
60 95 0.031667
61 81 0.027000
62 57 0.019000
63 67 0.022333
64 39 0.013000
65 39 0.013000
66 30 0.010000
67 38 0.012667
68 13 0.004333
69 16 0.005333
70 10 0.003333
71 13 0.004333
72 6 0.002000
73 2 0.000667
74 2 0.000667
75 1 0.000333
76 1 0.000333
77 0 0.000000
78 1 0.000333
79 0 0.000000
80 0 0.000000
81 0 0.000000
82 0 0.000000
83 0 0.000000
84 0 0.000000
85 0 0.000000
86 0 0.000000
87 0 0.000000
88 0 0.000000
89 0 0.000000
90 0 0.000000
91 0 0.000000
92 0 0.000000
93 0 0.000000
94 0 0.000000
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
