n_agents n_rounds n_runs lam mean variance std
100 80 3000 0.3 50.587667 251.928315 15.872250
outcome count fraction
1 0 0.000000
2 0 0.000000
3 0 0.000000
4 0 0.000000
5 0 0.000000
6 0 0.000000
7 0 0.000000
8 0 0.000000
9 1 0.000333
10 1 0.000333
11 1 0.000333
12 2 0.000667
13 6 0.002000
14 5 0.001667
15 6 0.002000
16 5 0.001667
17 2 0.000667
18 5 0.001667
19 2 0.000667
20 18 0.006000
21 16 0.005333
22 27 0.009000
23 22 0.007333
24 29 0.009667
25 26 0.008667
26 31 0.010333
27 29 0.009667
28 24 0.008000
29 24 0.008000
30 46 0.015333
31 51 0.017000
32 34 0.011333
33 53 0.017667
34 52 0.017333
35 42 0.014000
36 55 0.018333
37 54 0.018000
38 62 0.020667
39 49 0.016333
40 64 0.021333
41 55 0.018333
42 77 0.025667
43 56 0.018667
44 71 0.023667
45 64 0.021333
46 71 0.023667
47 65 0.021667
48 72 0.024000
49 62 0.020667
50 56 0.018667
51 82 0.027333
52 71 0.023667
53 60 0.020000
54 64 0.021333
55 68 0.022667
56 81 0.027000
57 47 0.015667
58 69 0.023000
59 67 0.022333
60 69 0.023000
61 66 0.022000
62 59 0.019667
63 64 0.021333
64 48 0.016000
65 44 0.014667
66 37 0.012333
67 34 0.011333
68 44 0.014667
69 33 0.011000
70 48 0.016000
71 27 0.009000
72 41 0.013667
73 27 0.009000
74 24 0.008000
75 31 0.010333
76 33 0.011000
77 26 0.008667
78 25 0.008333
79 16 0.005333
80 21 0.007000
81 15 0.005000
82 14 0.004667
83 6 0.002000
84 8 0.002667
85 10 0.003333
86 6 0.002000
87 6 0.002000
88 1 0.000333
89 6 0.002000
90 2 0.000667
91 1 0.000333
92 2 0.000667
93 3 0.001000
94 1 0.000333
95 0 0.000000
96 0 0.000000
97 0 0.000000
98 0 0.000000
99 0 0.000000
100 0 0.000000
