lambda variance std t_mix n_rounds
0.0000 13.987296 3.739959 10 50
0.0100 13.987296 3.739959 10 50
0.0200 13.987296 3.739959 10 50
0.0300 13.987296 3.739959 10 50
0.0400 13.959296 3.736214 10 50
0.0500 13.805084 3.715519 10 50
0.0600 13.581696 3.685335 10 50
0.0700 13.417500 3.662991 10 50
0.0800 13.115296 3.621505 10 50
0.0900 12.856400 3.585582 10 50
0.1000 12.654864 3.557368 10 50
0.1100 12.490400 3.534176 10 50
0.1200 12.490400 3.534176 10 50
0.1300 11.920636 3.452627 10 50
0.1400 11.850279 3.442423 10 50
0.1500 11.814279 3.437191 10 50
0.1600 11.766864 3.430286 10 50
0.1700 11.183399 3.344159 10 50
0.1800 11.183399 3.344159 10 50
0.1900 10.969975 3.312095 10 50
0.2000 10.959884 3.310572 10 50
0.2100 10.895975 3.300905 10 50
0.2200 10.629500 3.260291 10 50
0.2300 10.562975 3.250073 10 50
0.2400 10.562975 3.250073 10 50
0.2500 10.063239 3.172261 10 50
0.2600 9.636519 3.104274 10 50
0.2700 9.628400 3.102966 10 50
0.2800 9.514519 3.084561 10 50
0.2900 9.514519 3.084561 10 50
0.3000 9.229600 3.038026 10 50
0.3100 8.998071 2.999678 10 50
0.3200 8.725376 2.953875 10 50
0.3300 8.725376 2.953875 10 50
0.3400 8.725376 2.953875 10 50
0.3500 8.671644 2.944766 10 50
0.3600 8.356279 2.890723 10 50
0.3700 8.338519 2.887649 10 50
0.3800 7.759884 2.785657 10 50
0.3900 7.615599 2.759637 10 50
0.4000 7.607696 2.758205 10 50
0.4100 7.523296 2.742863 10 50
0.4200 7.297975 2.701476 10 50
0.4300 7.288064 2.699641 10 50
0.4400 7.060556 2.657171 10 50
0.4500 7.032976 2.651976 10 50
0.4600 6.916911 2.630002 10 50
0.4700 6.912844 2.629229 10 50
0.4800 6.912844 2.629229 10 50
0.4900 6.912844 2.629229 10 50
0.5000 5.672119 2.381621 40 80
0.5100 5.088976 2.255876 20 50
0.5200 5.088976 2.255876 20 50
0.5300 5.088976 2.255876 20 50
0.5400 5.093039 2.256776 20 50
0.5500 5.015039 2.239428 20 50
0.5600 4.986775 2.233109 20 50
0.5700 4.786151 2.187727 20 50
0.5800 4.762236 2.182255 20 50
0.5900 4.440844 2.107331 20 50
0.6000 4.433159 2.105507 20 50
0.6100 4.433100 2.105493 20 50
0.6200 4.220479 2.054380 20 50
0.6300 3.190911 1.786312 30 60
0.6400 3.188844 1.785733 30 60
0.6500 2.970976 1.723652 30 60
0.6600 2.910911 1.706139 30 60
0.6700 2.910911 1.706139 30 60
0.6800 2.912976 1.706744 30 60
0.6900 2.686775 1.639138 30 60
0.7000 2.593039 1.610292 30 60
0.7100 2.421516 1.556122 30 60
0.7200 2.419559 1.555493 30 60
0.7300 2.338319 1.529156 30 60
0.7400 2.334479 1.527900 30 60
0.7500 2.203936 1.484566 40 80
0.7600 1.867039 1.366396 40 80
0.7700 1.868976 1.367105 40 80
0.7800 2.001600 1.414779 50 100
0.7900 1.759536 1.326475 50 100
0.8000 1.772431 1.331327 50 100
0.8100 1.527676 1.235992 100 200
0.8200 1.371804 1.171240 100 200
0.8300 1.373831 1.172105 100 200
0.8400 0.983324 0.991627 100 200
0.8500 0.979424 0.989659 100 200
0.8600 0.847879 0.920803 200 400
0.8700 0.849996 0.921952 200 400
0.8800 0.637964 0.798726 200 400
0.8900 0.683996 0.827041 500 1000
0.9000 0.490751 0.700536 500 1000
0.9100 0.495951 0.704238 500 1000
0.9200 0.339879 0.582991 1000 2000
0.9300 0.313775 0.560156 2000 4000
0.9400 0.571399 0.755909 4000 8000
0.9500 4.157391 2.038968 100 200
0.9600 5.264679 2.294489 20 50
0.9700 5.895504 2.428066 20 50
0.9800 5.895504 2.428066 20 50
0.9900 5.895504 2.428066 20 50
